Query ID: Q467101-28-20240709.050751.920
Query Text: select c_last_name    ,c_first_name    ,c_salutation    ,c_preferred_cust_flag     ,ss_ticket_number    ,cnt from  (select ss_ticket_number      ,ss_customer_sk      ,count(*) cnt   from store_sales,date_dim,store,household_demographics   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and date_dim.d_dom between 1 and 2   and (household_demographics.hd_buy_potential = '>10000' or     household_demographics.hd_buy_potential = 'Unknown')   and household_demographics.hd_vehicle_count > 0   and case when household_demographics.hd_vehicle_count > 0 then        household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count else null end > 1   and date_dim.d_year in (2000,2000+1,2000+2)   and store.s_county in ('Mobile County','Maverick County','Huron County','Kittitas County')   group by ss_ticket_number,ss_customer_sk) dj,customer   where ss_customer_sk = c_customer_sk    and cnt between 1 and 5   order by cnt desc, c_last_name asc
Parsing Time: 574 ms
Execution Time: 3.326 s
Client Perceived Time: 7.891344785690308 s
Row Count: 552
Results:
['Abraham', 'Gregory', 'Dr.', 'Y', 11080833, 5]
['Harris', 'Kenneth', 'Sir', 'N', 75801942, 5]
['Harris', 'Alan', 'Dr.', 'Y', 219667706, 5]
['Harris', 'Nelson', 'Sir', 'Y', 188288833, 5]
['Harris', 'Archie', 'Dr.', 'N', 189641419, 5]
['Harris', 'Emmanuel', 'Mr.', 'Y', 177429533, 5]
['Harris', 'Ryan', 'Sir', 'N', 90318798, 5]
['Hartley', 'Eileen', 'Dr.', 'N', 44581297, 5]
['Hartman', 'Annie', 'Ms.', 'Y', 148741577, 5]
['Harvey', 'Anthony', 'Ms.', 'Y', 45052958, 5]
['Heard', 'Warren', 'Mr.', 'N', 189051357, 5]
['Heath', 'Valeria', 'Ms.', 'N', 171735688, 5]
['Helms', 'Kimberly', 'Miss', 'Y', 226695663, 5]
['Henry', 'Lauri', 'Ms.', 'N', 52642469, 5]
['Hicks', 'Joanna', 'Ms.', 'N', 180193320, 5]
['High', 'Charles', 'Sir', 'N', 170211589, 5]
['Hill', 'Regina', 'Ms.', 'N', 11135655, 5]
['Hill', 'Joyce', 'Ms.', 'Y', 219266594, 5]
['Hinton', 'James', 'Mr.', 'Y', 173304339, 5]
['Hodge', 'Jay', 'Dr.', 'Y', 9368850, 5]
['Holiday', 'Barbara', 'Ms.', 'N', 68482155, 5]
['Holland', 'Gregory', 'Sir', 'N', 218115619, 5]
['Holloway', 'Carolyn', 'Ms.', 'Y', 51325116, 5]
['Holmes', 'Roger', 'Sir', 'Y', 57757369, 5]
['Horton', 'Phyllis', 'Mrs.', 'N', 48058185, 5]
['Horton', 'Mark', 'Dr.', 'N', 12538148, 5]
['House', 'Sherry', 'Ms.', 'N', 8056842, 5]
['Howell', 'Cheryl', 'Ms.', 'N', 230375175, 5]
['Howell', 'Pearl', 'Dr.', 'N', 166728797, 5]
['Hudson', 'Bonnie', 'Dr.', 'Y', 6819434, 5]
['Huffman', 'Kenneth', 'Sir', 'N', 103928763, 5]
['Hunt', 'James', 'Dr.', 'Y', 97969594, 5]
['Hurley', 'Gina', 'Ms.', 'Y', 192667393, 5]
['Ibarra', 'Christopher', 'Dr.', 'Y', 85056959, 5]
['Ivy', 'Keith', 'Dr.', 'N', 224271604, 5]
['Jackson', 'Michael', 'Dr.', 'N', 146328096, 5]
['Jackson', 'Avis', 'Ms.', 'N', 20683174, 5]
['Jackson', 'Gerald', 'Mr.', 'Y', 68935511, 5]
['Jackson', 'Rhonda', 'Ms.', 'Y', 173997450, 5]
['Jacobs', 'Amanda', 'Dr.', 'Y', 84593858, 5]
['Jaime', 'Francis', 'Mr.', 'N', 17910304, 5]
['James', 'Robert', 'Sir', 'N', 101142840, 5]
['Jarrell', 'Cynthia', 'Dr.', 'Y', 146182767, 5]
['Jeter', 'Edward', 'Dr.', 'N', 36830931, 5]
['Johnson', 'Tiffany', 'Ms.', 'N', 48486468, 5]
['Johnson', 'Robert', 'Sir', 'Y', 120616062, 5]
['Johnson', 'Wayne', 'Mr.', 'Y', 190936277, 5]
['Johnson', 'Marie', 'Mrs.', 'N', 111271643, 5]
['Johnson', 'James', 'Sir', 'N', 137149994, 5]
['Johnson', 'Agnes', 'Dr.', 'Y', 226106356, 5]
['Johnson', 'Raymond', 'Sir', 'Y', 55052265, 5]
['Jones', 'Clifford', 'Dr.', 'Y', 188785665, 5]
['Jones', 'Leo', 'Dr.', 'N', 174760538, 5]
['Jones', 'Robert', 'Dr.', 'Y', 62424325, 5]
['Jones', 'Carolyn', 'Ms.', 'N', 134599935, 5]
['Jones', 'Ronald', 'Sir', 'N', 225045998, 5]
['Jones', 'Tina', 'Miss', 'Y', 122060269, 5]
['Jordan', 'Cynthia', 'Ms.', 'Y', 50667555, 5]
['Joyner', 'Beverly', 'Mrs.', 'N', 195558179, 5]
['Keeler', 'James', 'Mr.', 'Y', 45099667, 5]
['Kern', 'Nicole', 'Dr.', 'Y', 51510239, 5]
['Ketchum', 'Cindy', 'Mrs.', 'Y', 231273792, 5]
['Khan', 'Anna', 'Miss', 'N', 163004231, 5]
['Kincaid', 'Ernest', 'Dr.', 'N', 38813989, 5]
['King', 'Roger', 'Sir', 'Y', 103049515, 5]
['King', 'Aura', 'Ms.', 'Y', 43562061, 5]
['Knight', 'Titus', 'Sir', 'N', 556366, 5]
['Knight', 'Matthew', 'Mr.', 'N', 199404641, 5]
['Lacey', 'Maggie', 'Mrs.', 'Y', 40537247, 5]
['Lamb', 'Richard', 'Sir', 'Y', 179302095, 5]
['Lane', 'Kathy', 'Miss', 'Y', 52249417, 5]
['Laney', 'Gilbert', 'Mr.', 'N', 128106760, 5]
['Lara', 'Tara', 'Ms.', 'N', 14048379, 5]
['Larsen', 'Vida', 'Dr.', 'Y', 132616403, 5]
['Lawrence', 'Mitchell', 'Sir', 'Y', 204050197, 5]
['Lawrence', 'Mark', 'Dr.', 'Y', 33641537, 5]
['Lawrence', 'Morton', 'Sir', 'N', 181628581, 5]
['Lawson', 'Michelle', 'Ms.', 'Y', 82929193, 5]
['Lefebvre', 'Gary', 'Mr.', 'Y', 204840404, 5]
['Lentz', 'Kari', 'Dr.', 'N', 218877275, 5]
['Leslie', 'Elsie', 'Miss', 'Y', 97490772, 5]
['Lester', 'Bridget', 'Dr.', 'N', 144358892, 5]
['Lim', 'Theodore', 'Mr.', 'Y', 144877833, 5]
['Lin', 'Harold', 'Mr.', 'N', 23089448, 5]
['Little', 'Julie', 'Mrs.', 'Y', 206289923, 5]
['Littlefield', 'Brian', 'Sir', 'N', 163707866, 5]
['Littlefield', 'Isabel', 'Dr.', 'N', 70595327, 5]
['Lively', 'Thomas', 'Dr.', 'N', 107987326, 5]
['Lopez', 'John', 'Dr.', 'Y', 47414988, 5]
['Lucas', 'Jorge', 'Sir', 'N', 180376693, 5]
['Lynch', 'Michael', 'Mr.', 'N', 101345668, 5]
['Lynn', 'Cynthia', 'Ms.', 'N', 43478912, 5]
['Lyons', 'Margaret', 'Dr.', 'Y', 48592041, 5]
['Maier', 'Teresa', 'Ms.', 'N', 233837146, 5]
['Marino', 'Priscilla', 'Ms.', 'Y', 37973677, 5]
['Marks', 'David', None, 'N', 23701622, 5]
['Martin', 'Erik', 'Dr.', 'Y', 141463151, 5]
['Martin', 'Reyna', 'Dr.', 'N', 6653448, 5]
['Martin', 'Sandra', 'Dr.', 'Y', 79532014, 5]
['Martin', 'Clifford', 'Dr.', 'N', 147836127, 5]
['Mason', 'Jeannie', 'Dr.', 'Y', 148049812, 5]
['Mattingly', 'Robert', 'Dr.', 'N', 146886057, 5]
['Mayes', 'Inge', 'Ms.', 'N', 160345918, 5]
['Mayo', 'Laura', 'Mrs.', 'Y', 176747429, 5]
['Mcconnell', 'Columbus', 'Dr.', 'N', 181177156, 5]
['Mccue', 'Opal', 'Miss', 'N', 205832694, 5]
['Mcfadden', 'Joel', 'Sir', 'N', 5511314, 5]
['Mcgehee', 'Crystal', 'Mrs.', 'N', 211226673, 5]
['Mcgovern', 'Shelly', 'Dr.', 'Y', 27677839, 5]
['Mckenzie', 'John', 'Mr.', 'N', 223324436, 5]
['Mclaughlin', 'Allen', 'Dr.', 'Y', 178867578, 5]
['Mcneal', 'Kevin', 'Sir', 'N', 38304904, 5]
['Mcneil', 'Barbara', 'Mrs.', 'Y', 178368133, 5]
['Mcneil', 'Meagan', 'Dr.', 'N', 18201591, 5]
['Mcneil', 'George', 'Sir', 'Y', 19606877, 5]
['Mcrae', 'Margaret', 'Ms.', 'Y', 170509344, 5]
['Mesa', 'Sharon', 'Dr.', 'Y', 162497252, 5]
['Miller', 'Charles', 'Dr.', 'N', 119582427, 5]
['Miller', 'Gabriel', 'Dr.', 'Y', 156985753, 5]
['Miller', 'Albert', 'Miss', 'N', 113432050, 5]
['Miller', 'Ryan', 'Sir', 'Y', 176912156, 5]
['Milne', None, 'Miss', 'N', 126298901, 5]
['Moore', 'Latisha', 'Ms.', 'N', 111303, 5]
['Moore', None, 'Mr.', 'Y', 132410262, 5]
['Mora', 'Sonia', 'Miss', 'Y', 232939886, 5]
['Moreno', 'Karen', 'Mrs.', 'Y', 63513658, 5]
['Morrison', 'Judy', 'Miss', 'Y', 83308509, 5]
['Mullins', 'Stephanie', 'Mrs.', 'N', 120154176, 5]
['Munoz', 'Daniel', 'Dr.', 'N', 176536810, 5]
['Murphy', 'Ian', 'Sir', 'Y', 99846133, 5]
['Navarrete', 'Tonya', 'Mrs.', 'N', 228624430, 5]
['Nelson', 'Theresa', 'Dr.', 'N', 12491205, 5]
['Nelson', 'Robert', 'Dr.', 'Y', 152185696, 5]
['Newsome', 'Joseph', 'Dr.', 'Y', 226286200, 5]
['Nix', 'Nichole', 'Dr.', 'N', 58430919, 5]
['Nixon', 'Elmer', 'Mr.', 'Y', 46967950, 5]
['Noel', 'Robert', 'Sir', 'N', 46883120, 5]
['Norris', 'James', 'Sir', 'Y', 133491235, 5]
['Noyes', 'Rose', 'Mrs.', 'N', 86637834, 5]
['Oconnor', 'Robert', 'Sir', 'N', 165027888, 5]
['Oconnor', 'Barbara', 'Mrs.', 'Y', 178017066, 5]
['Oneal', 'David', 'Sir', 'N', 61537685, 5]
['Oneil', 'Barry', 'Mr.', 'Y', 194484692, 5]
['Ontiveros', 'Elsie', 'Miss', 'Y', 15162968, 5]
['Ortega', 'Sarah', 'Dr.', 'Y', 203831014, 5]
['Ortiz', 'Randall', 'Sir', 'N', 175915917, 5]
['Overton', 'Cynthia', 'Mrs.', 'N', 152587957, 5]
['Owen', 'Rita', 'Ms.', 'Y', 154391138, 5]
['Palacios', 'Concetta', 'Dr.', 'Y', 130835438, 5]
['Palmer', 'Linda', 'Ms.', 'N', 122881161, 5]
['Palmer', 'Ronald', 'Mr.', 'N', 161168804, 5]
['Palmer', 'William', 'Dr.', 'Y', 207003024, 5]
['Parris', 'Grace', 'Dr.', 'N', 180542621, 5]
['Patton', 'Jami', 'Ms.', 'Y', 27478631, 5]
['Paul', 'Justin', 'Dr.', 'N', 124874727, 5]
['Payne', 'Michelle', 'Mrs.', 'Y', 82045207, 5]
['Pearsall', 'William', 'Sir', 'N', 119673859, 5]
['Pena', 'Tami', 'Dr.', 'Y', 36517539, 5]
['Pennington', 'Mae', 'Mrs.', 'N', 36955490, 5]
['Peoples', 'Ward', 'Dr.', 'N', 205805290, 5]
['Pepper', 'Anthony', 'Dr.', 'N', 213185879, 5]
['Perdue', 'Helen', 'Mrs.', 'N', 113265137, 5]
['Perez', 'Joyce', 'Dr.', 'N', 1145285, 5]
['Perry', 'Justin', 'Dr.', 'N', 114969689, 5]
['Perry', 'Adolfo', 'Dr.', 'N', 132587767, 5]
['Peterson', 'Diana', 'Dr.', 'N', 165410328, 5]
['Phillips', 'Emma', 'Mrs.', 'N', 124860538, 5]
['Phillips', 'Kathryn', 'Miss', 'N', 16487670, 5]
['Pitt', 'Demetrius', 'Mr.', 'N', 146034205, 5]
['Pool', 'Rosie', 'Miss', 'N', 170784582, 5]
['Potts', 'Margaret', 'Dr.', 'Y', 66880697, 5]
['Powell', 'Matthew', 'Dr.', 'N', 131441741, 5]
['Powell', 'Michael', 'Sir', 'N', 23869821, 5]
['Powers', 'Paul', 'Mr.', 'N', 194630361, 5]
['Pritchard', 'Shane', 'Mr.', 'N', 114159626, 5]
['Pyle', 'Clayton', 'Sir', 'Y', 141188586, 5]
['Quintana', 'Thaddeus', 'Dr.', 'N', 7451194, 5]
['Quintana', 'Joseph', 'Dr.', 'N', 27558154, 5]
['Ramey', 'Daniel', 'Sir', 'Y', 72473012, 5]
['Ramos', 'Sara', 'Dr.', 'N', 28964849, 5]
['Rankin', 'Stephanie', 'Mrs.', 'N', 153144477, 5]
['Reno', 'Nancy', 'Dr.', 'Y', 12394491, 5]
['Rice', 'Marilyn', 'Dr.', 'N', 218225485, 5]
['Rios', 'Linda', 'Dr.', 'N', 165014774, 5]
['Ritter', 'Cynthia', 'Miss', 'Y', 13442344, 5]
['Rivera', 'Christina', 'Ms.', 'Y', 16248118, 5]
['Robinson', 'Bessie', 'Miss', 'Y', 76199462, 5]
['Robinson', None, 'Miss', 'Y', 28220034, 5]
['Robison', 'Lorene', 'Mrs.', 'N', 159407778, 5]
['Rodgers', 'Kimberly', 'Mrs.', 'Y', 172063926, 5]
['Rodman', 'Sol', 'Dr.', 'N', 118584447, 5]
['Rodriguez', 'Alexander', 'Mrs.', 'N', 97621876, 5]
['Rodriguez', 'Joshua', 'Mr.', 'Y', 90518573, 5]
['Rosario', 'Carmella', 'Miss', 'N', 230742699, 5]
